QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_POS_01.raw,PREC:mE531_POS_02.raw,PREC:mE531_POS_03.raw,PREC:mE531_POS_04.raw,PREC:mE531_POS_05.raw,SUMFA:mE531_POS_01.raw,SUMFA:mE531_POS_02.raw,SUMFA:mE531_POS_03.raw,SUMFA:mE531_POS_04.raw,SUMFA:mE531_POS_05.raw,MASSFRAG1,FRAG1:mE531_POS_01.raw,FRAG1:mE531_POS_02.raw,FRAG1:mE531_POS_03.raw,FRAG1:mE531_POS_04.raw,FRAG1:mE531_POS_05.raw,OH,MASSFRAG2,FRAG2:mE531_POS_01.raw,FRAG2:mE531_POS_02.raw,FRAG2:mE531_POS_03.raw,FRAG2:mE531_POS_04.raw,FRAG2:mE531_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE531_POS_01.raw,FA1INTENS:mE531_POS_02.raw,FA1INTENS:mE531_POS_03.raw,FA1INTENS:mE531_POS_04.raw,FA1INTENS:mE531_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE531_POS_01.raw,FA2INTENS:mE531_POS_02.raw,FA2INTENS:mE531_POS_03.raw,FA2INTENS:mE531_POS_04.raw,FA2INTENS:mE531_POS_05.raw,POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCEPOSMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCEPOSMS2,-0.47ppm,H71 C42 D7 O2 N1 ,CE,15,0,isCE 15:0,Keine,635.6463,2968654.8,2619137.5,900666.4,2364197.8,5385556.3,917572.8,678377,285497.4,876045.9,1999488.6,376.3956,917572.8,678377,285497.4,876045.9,1999488.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISdiHexCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISdiHexCerPosMS2,-0.34ppm,H90 C47 O13 N1 ,diHexCer,35,1,isdiHexCer 35:1;2,,876.6404,2632340.5,931551.8,315996.9,1533115.4,3955212.6,685192.9,213973.4,188134.4,466051.2,1393967.8,264.2686,631912,194350.4,168522.1,414300,1252176.5,2,282.2792,53280.9,19623,19612.3,51751.2,141791.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISHexCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHexCerPosMS2,-0.49ppm,H70 C36 O8 N1 ,HexCer,30,1,isHexCer 30:1;2,,644.5093,5457304.9,3413280.7,1285751.9,3448684.2,8118688.7,2235014.8,1248032.5,507686.2,1781389.7,4244809.3,264.2686,2053211.1,1153792.4,454632.3,1627800.9,3902708.2,2,282.2791,181803.7,94240.1,53053.9,153588.8,342101.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPCPosMS2,-0.83ppm,H89 C44 P1 O6 N1 ,PC,36,2,isPC 36:2,Keine,758.6416,12530089.7,15460654,4336628.5,9320075.4,18396539.4,2017429.9,6388079.6,39002408.1,26261095.3,1070961.7,184.0734,2017429.9,6388079.6,39002408.1,26261095.3,1070961.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPCPosMS2O,-0.83ppm,H89 C44 P1 O6 N1 ,PC,36,2,isPCO- 36:2,Keine,758.6416,12530089.7,15460654,4336628.5,9320075.4,18396539.4,2017429.9,6388079.6,39002408.1,26261095.3,1070961.7,184.0734,2017429.9,6388079.6,39002408.1,26261095.3,1070961.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISSMPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSMPosMS2,-0.31ppm,H72 C35 P1 O6 N2 ,SM,30,1,isSM 30:1;2,None,647.5121,7938868.8,7804673.8,2451924.1,5953474.7,10956454.1,5569414.1,5320605.9,1769141.5,5443678,10081806,184.0735,5569414.1,5320605.9,1769141.5,5443678,10081806,2,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,CholEsterPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CholEsterPosMS1MS2,-0.68ppm,H72 C39 O2 N1 ,CE,12,0,CE 12:0,Keine,586.5554,42765.2,20829.5,1715,26831,256845.3,0,2589.8,0,0,0,369.3532,0,2589.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-2.20ppm,H78 C43 O2 N1 ,CE,16,1,CE 16:1,Keine,640.6013,213040.7,25263.5,8245.9,98910.1,409557.8,8149.5,6215.3,19467.5,28875.7,3455.1,369.3511,8149.5,6215.3,19467.5,28875.7,3455.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.78ppm,H80 C43 O2 N1 ,CE,16,0,CE 16:0,Keine,642.6189,0,0,0,8383.8,0,5584.4,9065.7,18054.5,14397.8,3438.9,369.3517,5584.4,9065.7,18054.5,14397.8,3438.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
